played_at,session_id,sentence_id,target_word,word_index,target_time,tap_time,timing_error,result
2026-07-17 17:34:26,d6cc5e59,Stage 1,QUICK,1,2.434,2.3758,-0.0582,PERFECT
2026-07-17 17:34:30,d6cc5e59,Stage 1,FOX,3,6.294,6.2691,-0.0249,PERFECT
2026-07-17 17:34:34,d6cc5e59,Stage 1,OVER,5,10.418,10.4315,0.0135,PERFECT
2026-07-17 17:34:38,d6cc5e59,Stage 1,LAZY,7,14.23,14.2016,-0.0284,PERFECT
2026-07-17 17:34:41,d6cc5e59,Stage 2,SHE,0,0.6,0.6005,0.0005,PERFECT
2026-07-17 17:34:46,d6cc5e59,Stage 2,SEA,2,5.18,5.1831,0.0031,PERFECT
2026-07-17 17:34:54,d6cc5e59,Stage 2,SEA,6,13.332,13.3054,-0.0266,PERFECT
2026-07-17 17:34:57,d6cc5e59,Stage 3,PETER,0,0.6,0.6101,0.0101,PERFECT
2026-07-17 17:35:01,d6cc5e59,Stage 3,PICKED,2,4.508,4.4543,-0.0537,PERFECT
2026-07-17 17:35:04,d6cc5e59,Stage 3,PECK,4,8.248,8.2359,-0.0121,PERFECT
2026-07-17 17:35:08,d6cc5e59,Stage 3,PICKLED,6,12.06,12.114,0.054,PERFECT
2026-07-17 22:10:38,2648fbea,Stage 1,QUICK,1,2.434,1.2446,-1.1894,MISS
2026-07-17 22:10:43,2648fbea,Stage 1,FOX,3,6.294,6.2393,-0.0547,PERFECT
2026-07-17 22:10:48,2648fbea,Stage 1,OVER,5,10.418,10.4157,-0.0023,PERFECT
2026-07-17 22:10:51,2648fbea,Stage 1,LAZY,7,14.23,14.1911,-0.0389,PERFECT
2026-07-17 22:10:57,2648fbea,Stage 2,SHE,0,0.6,0.4888,-0.1112,PERFECT
2026-07-17 22:11:02,2648fbea,Stage 2,SEA,2,5.18,5.1918,0.0118,PERFECT
2026-07-17 22:11:10,2648fbea,Stage 2,SEA,6,13.332,13.3635,0.0315,PERFECT
2026-07-17 22:11:17,2648fbea,Stage 3,PETER,0,0.6,0.5634,-0.0366,PERFECT
2026-07-17 22:11:21,2648fbea,Stage 3,PICKED,2,4.508,4.4791,-0.0289,PERFECT
2026-07-17 22:11:24,2648fbea,Stage 3,PECK,4,8.248,8.2888,0.0408,PERFECT
2026-07-17 22:11:28,2648fbea,Stage 3,PICKLED,6,12.06,12.0396,-0.0204,PERFECT
2026-07-19 22:23:14,37632aae,Stage 1,QUICK,1,2.434,2.3821,-0.0519,PERFECT
2026-07-19 22:23:17,37632aae,Stage 1,FOX,3,6.294,6.2827,-0.0113,PERFECT
2026-07-19 22:23:22,37632aae,Stage 1,OVER,5,10.418,10.4527,0.0347,PERFECT
2026-07-19 22:23:25,37632aae,Stage 1,LAZY,7,14.23,14.2311,0.0011,PERFECT
2026-07-19 22:23:31,37632aae,Stage 2,SHE,0,0.6,0.6178,0.0178,PERFECT
2026-07-19 22:23:36,37632aae,Stage 2,SEA,2,5.18,5.1876,0.0076,PERFECT
2026-07-19 22:26:09,b0e25973,Stage 1,QUICK,1,1.2,1.1785,-0.0215,PERFECT
2026-07-19 22:26:11,b0e25973,Stage 1,FOX,3,2.4,2.3554,-0.0446,PERFECT
2026-07-19 22:26:12,b0e25973,Stage 1,OVER,5,3.6,3.5444,-0.0556,PERFECT
2026-07-19 22:26:13,b0e25973,Stage 1,LAZY,7,4.8,4.6719,-0.1281,PERFECT
2026-07-19 22:26:16,b0e25973,Stage 2,SHE,0,1.0,1.0035,0.0035,PERFECT
2026-07-19 22:26:17,b0e25973,Stage 2,SEA,2,1.9,1.8454,-0.0546,PERFECT
2026-07-19 22:26:18,b0e25973,Stage 2,SEA,6,2.8,2.6537,-0.1463,PERFECT
2026-07-19 22:28:11,c3df8b46,Stage 1,QUICK,1,0.473,0.456,-0.017,PERFECT
2026-07-19 22:28:11,c3df8b46,Stage 1,FOX,3,1.376,1.292,-0.084,PERFECT
2026-07-19 22:28:12,c3df8b46,Stage 1,OVER,5,2.15,2.055,-0.095,PERFECT
2026-07-19 22:28:13,c3df8b46,Stage 1,LAZY,7,2.86,2.757,-0.103,PERFECT
2026-07-19 22:28:15,c3df8b46,Stage 2,SHE,0,0.15,0.453,0.303,MISS
2026-07-19 22:28:16,c3df8b46,Stage 2,SEA,2,0.854,0.802,-0.052,PERFECT
2026-07-19 22:28:17,c3df8b46,Stage 2,SEA,6,2.146,2.089,-0.057,PERFECT
2026-07-19 22:28:19,c3df8b46,Stage 3,PETER,0,0.15,0.42,0.27,GOOD
2026-07-19 22:28:20,c3df8b46,Stage 3,PICKED,2,0.971,0.805,-0.166,GOOD
2026-07-19 22:28:20,c3df8b46,Stage 3,PECK,4,1.616,1.462,-0.154,GOOD
2026-07-19 22:28:21,c3df8b46,Stage 3,PICKLED,6,2.202,2.11,-0.092,PERFECT
2026-07-19 22:28:23,c3df8b46,Stage 4,I,0,0.15,0.421,0.271,GOOD
2026-07-19 22:28:23,c3df8b46,Stage 4,REALLY,1,0.372,,,MISS
2026-07-19 22:28:23,c3df8b46,Stage 4,SONG.,4,1.854,0.854,-1.0,MISS
2026-07-19 22:28:26,c3df8b46,Stage 5,CAN'T,1,0.524,0.388,-0.136,PERFECT
2026-07-19 22:28:28,c3df8b46,Stage 5,KEYS.,4,1.873,1.788,-0.085,PERFECT
2026-07-19 22:28:30,c3df8b46,Stage 6,ARE,1,0.402,0.38,-0.022,PERFECT
2026-07-19 22:28:31,c3df8b46,Stage 6,PARK.,5,1.727,1.648,-0.079,PERFECT
2026-07-19 22:28:33,c3df8b46,Stage 7,WORKS,1,0.428,0.447,0.019,PERFECT
2026-07-19 22:28:34,c3df8b46,Stage 7,HARD,3,1.333,1.303,-0.03,PERFECT
2026-07-19 22:28:38,c3df8b46,Stage 8,ALWAYS,1,0.563,0.511,-0.052,PERFECT
2026-07-19 22:28:39,c3df8b46,Stage 8,SOCCER,3,1.526,1.443,-0.083,PERFECT
2026-07-19 22:28:42,c3df8b46,Stage 9,CLOSE,1,0.685,0.565,-0.12,PERFECT
2026-07-19 22:28:43,c3df8b46,Stage 9,DOOR,3,1.487,1.389,-0.098,PERFECT
2026-07-19 22:28:46,c3df8b46,Stage 10,BEST,3,1.157,1.095,-0.062,PERFECT
2026-07-19 22:28:47,c3df8b46,Stage 10,EVER.,5,1.895,1.816,-0.079,PERFECT
2026-07-19 22:35:40,ac6f62a4,Stage 1,QUICK,1,0.473,0.473,0.0,PERFECT
2026-07-19 22:35:41,ac6f62a4,Stage 1,FOX,3,1.376,1.332,-0.044,PERFECT
2026-07-19 22:35:42,ac6f62a4,Stage 1,OVER,5,2.15,2.081,-0.069,PERFECT
2026-07-19 22:35:43,ac6f62a4,Stage 1,LAZY,7,2.86,2.729,-0.131,PERFECT
2026-07-19 22:35:46,ac6f62a4,Stage 2,SHE,0,0.15,0.436,0.286,GOOD
2026-07-19 22:35:47,ac6f62a4,Stage 2,SEA,2,0.854,0.801,-0.053,PERFECT
2026-07-19 22:35:48,ac6f62a4,Stage 2,SEA,6,2.146,2.088,-0.058,PERFECT
2026-07-19 22:35:50,ac6f62a4,Stage 3,PETER,0,0.15,0.367,0.217,GOOD
2026-07-19 22:35:50,ac6f62a4,Stage 3,PICKED,2,0.971,0.821,-0.15,GOOD
2026-07-19 22:35:51,ac6f62a4,Stage 3,PECK,4,1.616,1.468,-0.148,PERFECT
2026-07-19 22:35:52,ac6f62a4,Stage 3,PICKLED,6,2.202,2.068,-0.134,PERFECT
2026-07-19 22:35:54,ac6f62a4,Stage 4,I,0,0.15,0.331,0.181,GOOD
2026-07-19 22:35:55,ac6f62a4,Stage 4,REALLY,1,0.372,0.538,0.166,GOOD
2026-07-19 22:35:56,ac6f62a4,Stage 4,SONG.,4,1.854,1.762,-0.092,PERFECT
2026-07-19 22:35:58,ac6f62a4,Stage 5,CAN'T,1,0.524,0.474,-0.05,PERFECT
2026-07-19 22:35:59,ac6f62a4,Stage 5,KEYS.,4,1.873,1.748,-0.125,PERFECT
2026-07-19 22:36:02,ac6f62a4,Stage 6,ARE,1,0.402,0.348,-0.054,PERFECT
2026-07-19 22:36:03,ac6f62a4,Stage 6,PARK.,5,1.727,1.599,-0.128,PERFECT
2026-07-19 22:36:05,ac6f62a4,Stage 7,WORKS,1,0.428,0.375,-0.053,PERFECT
2026-07-19 22:36:06,ac6f62a4,Stage 7,HARD,3,1.333,1.237,-0.096,PERFECT
2026-07-19 22:36:10,ac6f62a4,Stage 8,ALWAYS,1,0.563,0.496,-0.067,PERFECT
2026-07-19 22:36:11,ac6f62a4,Stage 8,SOCCER,3,1.526,1.462,-0.064,PERFECT
2026-07-19 22:36:14,ac6f62a4,Stage 9,CLOSE,1,0.685,0.639,-0.046,PERFECT
2026-07-19 22:36:15,ac6f62a4,Stage 9,DOOR,3,1.487,1.443,-0.044,PERFECT
2026-07-19 22:36:19,ac6f62a4,Stage 10,BEST,3,1.157,1.072,-0.085,PERFECT
2026-07-19 22:36:19,ac6f62a4,Stage 10,EVER.,5,1.895,1.808,-0.087,PERFECT
2026-07-19 23:14:41,02c1e3ef,Stage 1,QUICK,1,0.473,0.491,0.018,PERFECT
2026-07-19 23:14:42,02c1e3ef,Stage 1,FOX,3,1.376,1.291,-0.085,PERFECT
2026-07-19 23:14:43,02c1e3ef,Stage 1,OVER,5,2.15,2.072,-0.078,PERFECT
2026-07-19 23:14:43,02c1e3ef,Stage 1,LAZY,7,2.86,2.802,-0.058,PERFECT
